board,winner
XOXOXOOOXOXOXOXXXOXOXOXOXOOXXXOXXOXXXOOXXOXOOXOXXOOXOXOOXXOXXOOX XOXXXOOOOOXOXXOOOXOOOXXXOOXOXXOXXXXOXXXX OOOXXOXOOOXOOOX OXXOXOXXXOO OXXXXOXOX O OOOXXXOOOOO OOXXXXOOOXO,0
XXXXOXXXOOOXOOXXOXXOXOOOOXXXOOXOXOOOOXOOOXXXXXOX  XXOOXOOXOOOOOXOXXOOOXXOX XXOXXXOXOXXXOOXOXOXOXOOXOXOXXXOOXOXOXOOXXOOXOOOX XXOOXOOOXXOOXXXOXXOXOOOXXOXOOXXXXXXOOOOXOXXOO,1
OXOOXO OXO OXXXXOOOXXO XXXXOOOOXOOOO  XOOO XOOXXOOXOXOOO XOOXXXOOOX OOXOXO XOOX XOXXOXXOOO XOXXXXOXOOOX   OXO OXO  XX XOXOX XX  OO X OXXXXOOOXOXXOXXOXOXXXOXOOX  X OXXXXX,1
XXXO OOOXXOOXXOXX OXXXXXXOOX OOXOXXXOOXOO OXOXOXOOXXXOOOOOOOOX OOXXOOXXOXXOOOXXXO OXXOXXOOXOOOXXOXXOOOXO OOXXOXOXOXXXXXOOXXOOXOXXOXXXOXXX OOXXOXOXOXXOXOOXOOXOOOOXXO XXOO,0
XXOOOXOXXXOOOXX XOXOXXXXOOOXXXXOOXOXOOOXXXXXOXOOXOXXXXOOOO OXOXO OOOOOOOOOOOXOOXXXXXXX  XOOXXXOXXOXXOOOOXXOXOXOOXOOOOOOOOOXX XXXXXOOXO OXXOXOOXXOXXOXOOXO XXXXOXXOXO XXOO,0
XXX OXOOO  OOX   OXXXO X OOXXOX O X XOOXX  X  OO O XXXOO OOX  O XOXOO  O  O XX OXXXX OOXOOXXOOO XOX O  XXX O XO XOXO X    OXOOXXOO  OOOOX XOXO XXOOOOXXOO X OOXXXX XX  XX,0
OOXOOOO  XOXXXXOO XXOXXXOO X OXOOOOO O OOXX OOXOOOOXXX OOXOXXXXXXOOX OXOXOOXXX OO OX XXXXXXOXOXOXOOOXOXOXOOXOOOXXO OXXXOOOXXOOX OXO XOOXOOXX OOXOXXXOO  XXXXX XXOXOXXOO X,0
X OOXXX  OX  O  XX O  OOOXX X    OX XX   X X X    X X  OOOX OOX XOX  X       X XX XX OOO X   OXOX OOXOO  OOOOOO OO OXOX  OX X  XOOXX X O OXOX   OOXX   XOO    O XXO O X O,0
 OXO OO OXX XXO XXOOOX X X OX XX OO OOX  XOXOOOXO XXOXXXOXOXOX OXOOOOXXO OOOOXXXOXXXOXXXOXXXXXXXOXOO  OXXOOOXXXOXOXXOOOXXXOXXXXX O X OOOOX XOXXXXOOOX OOXOOOOOOOXO XOXOOO,1
O XXXOXXX XOXOOXOXXXXOOOXXXOX X XXXXOOOOOXXOXOOXXXOO OXO OX OOXOOO XXOXOXXXXX XXOOOOXOXOXOOOXXO OOX  OOOOXOOXXXXOXOOO OXOXX OXOXOX OXXOOXOO O  OXX XXOXXOOOOXXOOOXX OOXXX,1
XXX OXXOOXOXXOOOXXXOXOXXXOOXOXXOOOOXOXOXOOXXXXOOX XXOOXOXXOOOOOOX XX XOXOXXXOXXOOOOO OOXXXOOOXXOXOXOXX OOOOOOXXXOOOOXOXXOOOXXOXOOOXOXOOX  O   XOOOOXXXXXXXOX XXOX XXOXXOO,0
OO XXOOOXXOXOOX XOXO XXXOOXXXOOO XOOXXXXOXOOOO XXOOXXXXOOXXOX X XOXOXXOX OOOOXOXOXOXO OXO XX XXXXOXXXXOX XOOXOOOX  OXOOOOXOOXOOXXXXOXOXOXXO X OOOO OOOXOOXXOXX XOOXXOOXOX,1
X OOOX X OOXXOX XOXOXX OXO XXOXO  OOXXXOOOX X OOOX   XO OOOXOX  XXOOOXOXXOXXOOXX O OXOO O O X O XXOOOOXX XOXOXX XX  XOXXOOXOXO  O  OXOX XX XOXX X O OXXXOOXO OXX OX OXOOO,0
XOOXOOXOXXOXXOXXOOOXOXXXOOXXX XXOXXOO OOXXOOXOOOOXXXOXOXXXXOXXOOOXOOXOOXXOOOOOOXXXXXOXXOOXXOOOXXXOOXXXOOOXXXXOOOOOXOXXOXOOXOX OOXOXOOXOO OOOOXXOXXXOOXXOX XXXOXOXXXXOXOOO,0
